"stateHeads__name","stateHeads__country","stateHeads__office","stateHeads__mandate_start","stateHeads__mandate_end","stateHeads__term_length","stateHeads__head_of_state_or_gov","stateHeads__description","stateHeads__img","errorHeads"
"Jenny Shipley","New Zealand","Prime Minister","5 December 1997","5 December 1999","2 years, 0 days","Head of government","Dame Jennifer Mary Shipley DNZM PC (née Robson; born 4 February 1952) is a former New Zealand politician who served as the 36th Prime Minister of New Zealand from 1997 to 1999. She was the first female prime minister of New Zealand, and is the only woman to have led the National Party.","//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Jenny_Shipley_2013_%28crop%29.jpg/220px-Jenny_Shipley_2013_%28crop%29.jpg",""
"Janet Jagan","Guyana","Prime Minister","17 March 1997","19 December 1997","277 days","*","Janet Rosenberg Jagan OE (October 20, 1920 – March 28, 2009) was the first female President of Guyana, serving from December 19, 1997, to August 11, 1999.  She previously served as the first female Prime Minister of Guyana from March 17, 1997, to December 19, 1997. The wife of Cheddi Jagan, whom she succeeded as president, she was awarded Guyana's highest national award, the Order of Excellence, in 1993, and the UNESCO Mahatma Gandhi Gold Medal for Women's Rights in 1998.","//upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Janet_Jagan.png/220px-Janet_Jagan.png",""
"Irena Degutienė","Lithuania","Acting Prime Minister","4 May 1999","18 May 1999","14 days","Head of government","Irena Degutienė (born 1 June 1949 in Šiauliai, Lithuanian SSR, Soviet Union) is a Lithuanian politician and member of the conservative Homeland Union, currently Deputy Speaker of Seimas. She was twice the acting Prime Minister of Lithuania, first from 4 May 1999 to 18 May 1999 and then from 27 October 1999 to 3 November 1999. She has also been the Minister for Social Security and Labour from 1996 to 2000. In 1978, she graduated from Vilnius University with a degree in medicine. For almost twenty years, she worked in Vilnius Red Cross Hospital before becoming a secretary in the Ministry of Health in 1994. In 1996, she was elected to Seimas and re-elected in 2000.","https://upload.wikimedia.org/wikipedia/en/3/3e/Baltijos_asambleja_degutine.jpg",""
"Vaira Vīķe-Freiberga","Latvia","President","8 July 1999","8 July 2007","8 years, 0 days","Head of state","Vaira Vīķe-Freiberga (born 1 December 1937) is a Latvian politician who served as the sixth President of Latvia and the first female President of Latvia. She was elected President of Latvia in 1999 and re-elected for the second term in 2003.","//upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Vaira_Vike_Freiberga_signature.svg/128px-Vaira_Vike_Freiberga_signature.svg.png",""
"Nyam-Osoryn Tuyaa","Mongolia","Acting Prime Minister","22 July 1999","30 July 1999","8 days","Head of government","Tuyaa was the foreign minister in the Democratic Party led government under Janlavyn Narantsatsralt, being appointed in 1998. When this government was forced to resign the following year, she became acting Prime Minister for a short time before parliament elected Rinchinnyamyn Amarjargal. She then served as foreign minister in the new government until it was defeated in the 2000 elections. She herself lost her seat in parliament (for a district in Khentii Province) in the same elections, which saw the People's Revolution Party win all but four of the seats.","no image on wikipedia :(",""
"Mireya Moscoso","Panama","President","1 September 1999","1 September 2004","5 years, 0 days","Head of state and government","Mireya Elisa Moscoso Rodríguez de Arias (born July 1, 1946) is a Panamanian politician who served as the President of Panama from 1999 to 2004. She is the country's first female president.","//upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Mireya_Moscoso_in_2012.jpg/220px-Mireya_Moscoso_in_2012.jpg",""
"Irena Degutienė","Lithuania","Acting Prime Minister","27 October 1999","3 November 1999","7 days","Head of government","Irena Degutienė (born 1 June 1949 in Šiauliai, Lithuanian SSR, Soviet Union) is a Lithuanian politician and member of the conservative Homeland Union, currently Deputy Speaker of Seimas. She was twice the acting Prime Minister of Lithuania, first from 4 May 1999 to 18 May 1999 and then from 27 October 1999 to 3 November 1999. She has also been the Minister for Social Security and Labour from 1996 to 2000. In 1978, she graduated from Vilnius University with a degree in medicine. For almost twenty years, she worked in Vilnius Red Cross Hospital before becoming a secretary in the Ministry of Health in 1994. In 1996, she was elected to Seimas and re-elected in 2000.","no image on wikipedia :(",""
"Helen Clark","New Zealand","Prime Minister","5 December 1999","19 November 2008","8 years, 350 days","Head of government","Helen Elizabeth Clark ONZ SSI PC (born 26 February 1950) is a New Zealand politician who served as the 37th Prime Minister of New Zealand from 1999 to 2008, and was the Administrator of the United Nations Development Programme from 2009 to 2017. She was New Zealand's fifth-longest-serving prime minister, and the second woman to hold that office.","//upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Helen_Clark_official_photo_%28cropped%29.jpg/220px-Helen_Clark_official_photo_%28cropped%29.jpg",""
"Tarja Halonen","Finland","President","1 March 2000","1 March 2012","12 years, 0 days","Head of state","Tarja Kaarina Halonen ([tɑrjɑ kɑːrinɑ hɑlonen] (listen); born 24 December 1943) is a Finnish politician who served as the 11th President of Finland, and the first woman to hold the position, from 2000 to 2012. She first rose to prominence as a lawyer with the Central Organisation of Finnish Trade Unions (SAK), and as the Prime Minister's parliamentary secretary (1974-1975) and a member of the City Council of Helsinki (1977-1996). Halonen was a Social Democratic Party member of parliament from 1979 until her election to the presidency in 2000. She also served as a minister at the Ministry of Social Affairs and Health from 1987 to 1990, as Minister of Justice from 1990 to 1991, and as Minister for Foreign Affairs from 1995 to 2000.","//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Tarja_Halonen_1c389_8827-2.jpg/220px-Tarja_Halonen_1c389_8827-2.jpg",""
"Gloria Macapagal Arroyo","Philippines","President","20 January 2001","30 June 2010","9 years, 161 days","Head of state and government","Maria Gloria Macaraeg Macapagal-Arroyo CYC (Tagalog pronunciation: [makapaˈɡal ɐˈɾɔjɔ], born April 5, 1947) is a Filipino academic and former politician who was the 14th President of the Philippines from 2001 until 2010. She recently held the position of the Speaker of the House of Representatives of the Philippines, making her the first woman to hold the position from 2018 until 2019 before her retirement.","//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Gloria_Macapagal_Arroyo_WEF_2009-crop.jpg/75px-Gloria_Macapagal_Arroyo_WEF_2009-crop.jpg",""
"Mame Madior Boye","Senegal","Prime Minister","3 March 2001","4 November 2002","1 year, 246 days","Head of government","Mame Madior Boye (born 1940) was Prime Minister of Senegal from 2001 to 2002. She was the first female holder of that position.","no image on wikipedia :(",""
"Megawati Sukarnoputri","Indonesia","President","23 July 2001","20 October 2004","3 years, 89 days","Head of state and government","Diah Permata Megawati Setiawati Sukarnoputri (Indonesian: [meɡawati sukarnɔputri] (listen); born 23 January 1947) is an Indonesian politician who served as the fifth president of Indonesia from 2001 to 2004. She previously served as the eighth vice president from 1999 to 2001.","//upload.wikimedia.org/wikipedia/commons/thumb/8/88/President_Megawati_Sukarnoputri_-_Indonesia.jpg/220px-President_Megawati_Sukarnoputri_-_Indonesia.jpg",""
"Khaleda Zia","Bangladesh","Prime Minister","1 October 2001","29 October 2006","5 years, 28 days","Head of government"," Khaleda Zia (IPA: kʰaled̪a dʒia; born Khaleda Khanam Putul in 1945) is a Bangladeshi politician who served as the Prime Minister of Bangladesh from 1991 to 1996, and again from 2001 to 2006. She was the first woman in the country's history and second in the Muslim majority countries (after Benazir Bhutto) to head a democratic government as prime minister. She was the wife of a former President of Bangladesh Ziaur Rahman. She is the current chairperson and leader of the Bangladesh Nationalist Party (BNP) which was founded by Rahman in the late 1970s.","//upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Khaleda_Clinton.JPG/220px-Khaleda_Clinton.JPG",""
"Chang Sang","South Korea","Acting Prime Minister","11 July 2002","31 July 2002","20 days","*","Chang Sang (born 3 October 1939) became the first female Prime Minister of South Korea when President Kim Dae-jung reshuffled his cabinet in 2002.","no image on wikipedia :(",""
"Maria das Neves","São Tomé and Príncipe","Prime Minister","3 October 2002","18 September 2004","1 year, 351 days","Head of government","Maria das Neves Ceita Baptista de Sousa (born 1958) is a former Prime Minister of São Tomé and Príncipe. She was a key figure in the Movement for the Liberation of São Tomé and Príncipe-Social Democratic Party (MLSTP-PSD) and became the first woman head of government in the country.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Princess_Maria_das_Neves_of_Bourbon_%281877%29_-_Adele%2C_Graben19%2C_Wien.png/338px-Princess_Maria_das_Neves_of_Bourbon_%281877%29_-_Adele%2C_Graben19%2C_Wien.png",""
"Anneli Jäätteenmäki","Finland","Prime Minister","17 April 2003","24 June 2003","68 days","Head of government","Anneli Tuulikki Jäätteenmäki (born 11 February 1955) is a Finnish politician who was the first female Prime Minister of Finland from 17 April 2003 to 24 June 2003. From 2004 until 2019, she served as a Member of the European Parliament (MEP) from Finland. ","//upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Anneli_J%C3%A4%C3%A4tteenm%C3%A4ki_2014-04-06_%283%29.jpg/220px-Anneli_J%C3%A4%C3%A4tteenm%C3%A4ki_2014-04-06_%283%29.jpg",""
"Beatriz Merino","Peru","Prime Minister","28 June 2003","15 December 2003","170 days","*","Martha Beatriz Merino Lucero (born November 15, 1947 in Peru) was the first female Prime Minister of Peru.  Merino served as Prime Minister from 23 June 2003 to 15 December 2003.  Merino served as the national ombudsman for Peru from 29 September 2005 to 30 March 2011, a position also known as the defender of the people. She was the third person to hold the position (the first title holder was Jorge Santistevan and his successor, in an interim position, was Walter Albán). Following the expiry of her five-year term in March 2011, Merino was succeeded by Eduardo Vega Luna.","//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Beatrizmerino.jpg/220px-Beatrizmerino.jpg",""
"Nino Burjanadze","Georgia","Acting President","23 November 2003","25 January 2004","63 days","Head of state","Nino Burjanadze (Georgian:  ნინო ბურჯანაძე [ninɔ burd͡ʒɑnɑd͡zɛ], also romanized Burdzhanadze or Burdjanadze, born 16 July 1964) is a Georgian politician and lawyer who served as Chairperson of the Parliament of Georgia from November 2001 to June 2008. As the first woman she has served as the acting head of state of Georgia twice; the first time from 23 November 2003 to 25 January 2004 in the wake of Eduard Shevardnadze's resignation during the Rose Revolution, and again from 25 November 2007 to 20 January 2008, when Mikheil Saakashvili stepped down to rerun in the early presidential elections. She withdrew into opposition to Saakashvili as the leader of the Democratic Movement-United Georgia party in 2008. In October 2013, she ran for president in the October 2013 election. She ran against 22 candidates and ended third with 10 percent of the vote.","//upload.wikimedia.org/wikipedia/commons/thumb/1/18/06-12-2019_Nino_Burjanadze.png/220px-06-12-2019_Nino_Burjanadze.png",""
"Luísa Diogo","Mozambique","Prime Minister","17 February 2004","16 January 2010","5 years, 333 days","Head of government","Luísa Dias Diogo (born 11 April 1958) was Prime Minister of Mozambique from February 2004 to January 2010. She replaced Pascoal Mocumbi, who had been Prime Minister for the previous nine years. Before becoming Prime Minister, she was Minister of Planning and Finance, and she continued to hold that post until February 2005. She was the first female Prime Minister of Mozambique. Diogo represents the party FRELIMO, which has ruled the country since independence in 1975.","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Luisa_Dias_Diogo_-_World_Economic_Forum_Annual_Meeting_Davos_2009_crop.jpg/330px-Luisa_Dias_Diogo_-_World_Economic_Forum_Annual_Meeting_Davos_2009_crop.jpg",""
"Barbara Prammer","Austria","Co-Acting President","6 July 2004","8 July 2004","2 days","Head of state","Barbara Prammer (née Thaller; 11 January 1954 – 2 August 2014) was an Austrian politician and member of the Social Democratic Party of Austria (SPÖ). In 2006 she was the first woman to become President of the National Council of Austria, an office she held until her death.","//upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Mag.a._Barbara_Prammer_%2814316641697%29.jpg/220px-Mag.a._Barbara_Prammer_%2814316641697%29.jpg",""
"Radmila Šekerinska","North Macedonia","Acting Prime Minister","12 May 2004","12 June 2004","31 days","Head of government","Radmila Šekerinska Jankovska (Macedonian: Радмила Шекеринска Јанковска [ˈradmila ʃɛˈkɛrinska] (listen); born 10 June 1972) is the current defense minister of North Macedonia and a former leader of the Social Democratic Union of Macedonia (SDSM). Šekerinska was previously Deputy Prime Minister for European Integration and National Coordinator for Foreign Assistance of North Macedonia and also was the acting Prime Minister of North Macedonia from May 12, 2004 until June 12, 2004 and from November 3, 2004 until December 15, 2004. She was elected November 5, 2006 the SDUM leader.","//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Radmila_%C5%A0ekerinska_-_2018_%2840930351855%29_%28cropped%29.jpg/220px-Radmila_%C5%A0ekerinska_-_2018_%2840930351855%29_%28cropped%29.jpg",""
"Yulia Tymoshenko","Ukraine","Prime Minister","24 January 2005","6 September 2005","225 days","Head of government","Yulia Volodymyrivna Tymoshenko (Ukrainian: Ю́лія Володи́мирівна Тимоше́нко, IPA: [ˈjul⁽ʲ⁾ijɐ woloˈdɪmɪr⁽ʲ⁾iu̯nɐ tɪmoˈʃɛnko]; née Hrihyan (Грігян); born 27 November 1960) is a Ukrainian politician.","//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Yulia_Tymoshenko_2018_Vadim_Chuprina.jpg/220px-Yulia_Tymoshenko_2018_Vadim_Chuprina.jpg",""
"Maria do Carmo Silveira","São Tomé and Príncipe","Prime Minister","8 June 2005","21 April 2006","317 days","Head of government","Maria do Carmo Trovoada Pires de Carvalho Silveira (born 14 February 1961) is a former Prime Minister of São Tomé and Príncipe who served from 8 Jun 2005 to 21 Apr 2006.","//upload.wikimedia.org/wikipedia/commons/thumb/1/18/Maria_do_Carmo_Silveira.jpg/220px-Maria_do_Carmo_Silveira.jpg",""
"Angela Merkel","Germany","Chancellor","22 November 2005","Incumbent","14 years, 36 days","Head of government","Angela Dorothea Merkel (/ˈmɜːrkəl, ˈmɛərkəl/, German: [aŋˈɡeːla doʁoˈteːa ˈmɛʁkl̩];[a] née Kasner; born 17 July 1954) is a German politician serving as the chancellor of Germany since 2005. She served as the leader of the centre-right Christian Democratic Union (CDU) from 2000 to 2018.[10] Merkel has been widely described as the de facto leader of the European Union,[11] the most powerful woman in the world,[12] and ""leader of the free world"".[13]","//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Besuch_Bundeskanzlerin_Angela_Merkel_im_Rathaus_K%C3%B6ln-09916.jpg/220px-Besuch_Bundeskanzlerin_Angela_Merkel_im_Rathaus_K%C3%B6ln-09916.jpg",""
"Ellen Johnson Sirleaf","Liberia","President","16 January 2006","22 January 2018","12 years, 6 days","Head of state and government","Ellen Johnson Sirleaf (born 29 October 1938) is a Liberian politician who served as the 24th President of Liberia from 2006 to 2018. Sirleaf was the first elected female head of state in Africa.","//upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Ellen_Johnson_Sirleaf_February_2015.jpg/220px-Ellen_Johnson_Sirleaf_February_2015.jpg",""
"Michelle Bachelet","Chile","President","11 March 2006","11 March 2010","4 years, 0 days","Head of state and government","Verónica Michelle Bachelet Jeria (Spanish: [beˈɾonika miˈtʃel βatʃeˈle ˈxeɾja]; born 29 September 1951) is a Chilean politician who served as President of Chile from 2006 to 2010 and again from 2014 to 2018 for the Socialist Party of Chile, the first woman to occupy the position. After leaving the presidency in 2010 and while not immediately reelectable, she was appointed the first executive director of the newly created United Nations Entity for Gender Equality and the Empowerment of Women. In December 2013, Bachelet was reelected with over 62% of the vote, bettering the 54% she obtained in 2006. She was the first President of Chile to be reelected since 1932.","//upload.wikimedia.org/wikipedia/commons/thumb/0/02/Portrait_Michelle_Bachelet.jpg/220px-Portrait_Michelle_Bachelet.jpg",""
"Portia Simpson-Miller","Jamaica","Prime Minister","30 March 2006","11 September 2007","1 year, 165 days","Head of government","Portia Lucretia Simpson-Miller, ON (born 12 December 1945), is a Jamaican politician. She served as Prime Minister of Jamaica from March 2005 to September 2007 and again from 5 January 2012 to 3 March 2016. She was the leader of the People's National Party from 2005 to 2017 and the Leader of the Opposition twice, from 2007 to 2012 and from 2016 to 2017.","//upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Portia_Miller_Shoot.Jpeg/220px-Portia_Miller_Shoot.Jpeg",""
"Han Myeong-sook","South Korea","Prime Minister","19 April 2006","7 March 2007","322 days","*","Han Myeong-sook (born March 24, 1944; Korean: 한명숙 [han mjʌŋsʰuk]) was the Prime Minister of South Korea from April 2006 to March 2007. She is South Korea's first female prime minister (second female prime minister overall if the acting premiership of Chang Sang is included). She was from the United New Democratic Party (UNDP) as a member of the Korean National Assembly (representative) for Ilsan-gab, and is a graduate of Ewha Womans University in Seoul with a degree in French literature. She resigned as Prime Minister on March 7, 2007 and declared her presidential candidacy. But she did not succeed in the nominations. In 2008 she ran for  parliament, but was not elected. However, in January 2012 she was elected leader of the main oppositional Democratic United Party (DUP) before the April legislative elections and became a member of parliament. But the liberals did not manage to defeat the ruling Saenuri Party and Han stepped down as party leader in April 2012. In August 2015, Han was convicted of receiving illegal donations at the amount of 900 million KRW, and sentence to two years in prison. She is ineligible to run for public office for ten years after her prison term. She became the first former prime minister of the Republic of Korea to serve a prison time.","//upload.wikimedia.org/wikipedia/commons/thumb/6/61/Han_Myeong_Sook_2006.png/220px-Han_Myeong_Sook_2006.png",""
"Dalia Itzik","Israel","Acting President","25 January 2007","15 July 2007","171 days","Head of state","Dalia Itzik (Hebrew: דליה איציק Dalya Itsik; born 20 October 1952) is a former Israeli politician who last served as a member of the Knesset for Kadima. She has previously served in several ministerial positions, and on 4 May 2006 became the first female speaker of the Knesset, and served as President of Israel in an interim capacity from January to July 2007.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Dalya_Itzik_1.png/330px-Dalya_Itzik_1.png",""
"Pratibha Patil","India","President","25 July 2007","25 July 2012","5 years, 0 days","Head of state","Pratibha Devisingh Patil (born 19 December 1934) is an Indian politician who served as the 12th President of India from 2007 to 2012. A member of the Indian National Congress, Patil is the only woman to hold the office. She previously served as the Governor of Rajasthan from 2004 to 2007. She has been felicitated with Mexico's highest civilian award Order of the Aztec Eagle in 2019.","//upload.wikimedia.org/wikipedia/commons/thumb/9/93/The_President_Smt._Pratibha_Devisingh_Patil_in_2012.jpg/270px-The_President_Smt._Pratibha_Devisingh_Patil_in_2012.jpg",""
"Nino Burjanadze","Georgia","Acting President","25 November 2007","20 January 2008","56 days","Head of state","Nino Burjanadze (Georgian:  ნინო ბურჯანაძე [ninɔ burd͡ʒɑnɑd͡zɛ], also romanized Burdzhanadze or Burdjanadze, born 16 July 1964) is a Georgian politician and lawyer who served as Chairperson of the Parliament of Georgia from November 2001 to June 2008. As the first woman she has served as the acting head of state of Georgia twice; the first time from 23 November 2003 to 25 January 2004 in the wake of Eduard Shevardnadze's resignation during the Rose Revolution, and again from 25 November 2007 to 20 January 2008, when Mikheil Saakashvili stepped down to rerun in the early presidential elections. She withdrew into opposition to Saakashvili as the leader of the Democratic Movement-United Georgia party in 2008. In October 2013, she ran for president in the October 2013 election. She ran against 22 candidates and ended third with 10 percent of the vote.","//upload.wikimedia.org/wikipedia/commons/thumb/1/18/06-12-2019_Nino_Burjanadze.png/220px-06-12-2019_Nino_Burjanadze.png",""
"Cristina Fernández de Kirchner","Argentina","President","10 December 2007","9 December 2015","7 years, 364 days","Head of state and government","Cristina Elisabet Fernández de Kirchner  (Spanish pronunciation: [kɾisˈtina elisaˈβet ferˈnandez ðe ˈkiɾʃneɾ] (listen); born 19 February 1953), sometimes referred to by her initials CFK,[note 1] is an Argentine politician who is the current Vice President of Argentina since 10 December 2019. She also previously served as the President of Argentina from 2007 to 2015, as well as the First Lady during her husband, Néstor Kirchner's tenure.","//upload.wikimedia.org/wikipedia/commons/thumb/2/22/Cristinakirchnermensaje2010.jpg/220px-Cristinakirchnermensaje2010.jpg",""
"Yulia Tymoshenko","Ukraine","Prime Minister","18 December 2007","3 March 2010","2 years, 75 days","Head of government","Yulia Volodymyrivna Tymoshenko (Ukrainian: Ю́лія Володи́мирівна Тимоше́нко, IPA: [ˈjul⁽ʲ⁾ijɐ woloˈdɪmɪr⁽ʲ⁾iu̯nɐ tɪmoˈʃɛnko]; née Hrihyan (Грігян); born 27 November 1960) is a Ukrainian politician.","//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Yulia_Tymoshenko_2018_Vadim_Chuprina.jpg/220px-Yulia_Tymoshenko_2018_Vadim_Chuprina.jpg",""
"Zinaida Greceanîi","Moldova","Prime Minister","31 March 2008","14 September 2009","1 year, 167 days","Head of government","Zinaida Greceanîi (born 7 February 1956;) is a Moldovan politician who has been one of the claimants to the office of Speaker of the Parliament of Moldova since 8 June 2019, the other being Andrian Candu (in office since 2015). Greceanîi was previously also the Prime Minister of Moldova from 31 March 2008 to 14 September 2009. She is the leader of the Party of Socialists of the Republic of Moldova (PSRM) and was previously a member of the Party of Communists of the Republic of Moldova (PCRM).  She was Moldova's first female Prime Minister and was the second female Communist head of government in Europe, the first having been Premier Milka Planinc of Yugoslavia.","//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Zinaida_Grecean%C3%AEi%2C_2014_%28cropped%29.jpg/220px-Zinaida_Grecean%C3%AEi%2C_2014_%28cropped%29.jpg",""
"Michèle Pierre-Louis","Haiti","Prime Minister","5 September 2008","11 November 2009","1 year, 67 days","Head of government","Michèle Duvivier Pierre-Louis (born 5 October 1947) is a Haitian politician who was Prime Minister of Haiti from September 2008 to November 2009. She was Haiti's second female Prime Minister, after Claudette Werleigh, who served from 1995 to 1996.","//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Mich%C3%A8le_Pierre-Louis-2009_%282%29.jpg/220px-Mich%C3%A8le_Pierre-Louis-2009_%282%29.jpg",""
"Sheikh Hasina","Bangladesh","Prime Minister","6 January 2009","Incumbent","10 years, 356 days","Head of government","She is the daughter of Bangladesh's first President Sheikh Mujibur Rahman. Sheikh Hasina is the eldest of his five children. Her political career has spanned more than four decades. She previously served as opposition leader from 1986 to 1990 and from 1991 to 1995, as Prime Minister from 1996 to 2001, and has been leading the Bangladesh Awami League since 1981. In 2008, she returned as Prime Minister with a landslide victory. In January 2014, she became Prime minister for a third term in an unopposed election, in an election boycotted by the opposition and criticised by international observers. She won a fourth term in December 2018, following an election marred with violence and criticised by the opposition as being rigged.","//upload.wikimedia.org/wikipedia/commons/thumb/3/38/Sheikh_Hasina_MSC_2019.jpg/220px-Sheikh_Hasina_MSC_2019.jpg",""
"Jóhanna Sigurðardóttir","Iceland","Prime Minister","1 February 2009","23 May 2013","4 years, 111 days","Head of government","Elected an MP from 1978 to 2013, she was appointed as Iceland's Minister of Social Affairs and Social Security, serving from 1987 to 1994, and from 2007 until 2009. In 1994, when she lost a bid to head the Social Democratic Party, she raised her fist and declared ""Minn tími mun koma!"" (""My time will come!""), a phrase that became a popular Icelandic expression.","//upload.wikimedia.org/wikipedia/commons/thumb/1/1e/J%C3%B3hanna_Sigur%C3%B0ard%C3%B3ttir_and_J%C3%B3n%C3%ADna_Le%C3%B3sd%C3%B3ttir.JPG/300px-J%C3%B3hanna_Sigur%C3%B0ard%C3%B3ttir_and_J%C3%B3n%C3%ADna_Le%C3%B3sd%C3%B3ttir.JPG",""
"Rose Francine Rogombé","Gabon","Acting President","10 June 2009","16 October 2009","128 days","Head of state","Rose Francine Rogombé (née Etomba) (20 September 1942 – 10 April 2015) was a Gabonese politician who was Acting President of Gabon from June 2009 to October 2009, following the death of long-time President Omar Bongo. She constitutionally succeeded Bongo due to her role as President of the Senate, a post to which she was elected in February 2009. She was a lawyer by profession and a member of the Gabonese Democratic Party (PDG). Rogombé was the first female head of state of Gabon. After her interim presidency, she returned to her post as President of the Senate.","//upload.wikimedia.org/wikipedia/en/thumb/a/a9/Rose_Francine_Rogomb%C3%A9.png/220px-Rose_Francine_Rogomb%C3%A9.png",""
"Jadranka Kosor","Croatia","Prime Minister","6 July 2009","23 December 2011","2 years, 170 days","Head of government","Jadranka Kosor (pronounced [jǎdraːnka kɔ̂sɔr]; born 1 July 1953) is a Croatian politician and former journalist who served as the Prime Minister of Croatia from 2009 to 2011, having taken office following the sudden resignation of her predecessor Ivo Sanader. Kosor was the first and so far only woman to become Prime Minister of Croatia since independence.","//upload.wikimedia.org/wikipedia/commons/thumb/1/15/Jadranka_Kosor_26052011_crop.jpg/220px-Jadranka_Kosor_26052011_crop.jpg",""
"Dalia Grybauskaitė","Lithuania","President","12 July 2009","12 July 2019","10 years, 0 days","Head of state","Dalia Grybauskaitė (Lithuanian pronunciation: ​[dɐˈlʲɛ ɡʲrʲiːbɐʊsˈkɐ̂ˑɪtʲeː]; born 1 March 1956) is a Lithuanian politician who served as the eighth  President of Lithuania from 2009 until 2019. She is the first woman to hold the position and became in 2014 the first President of Lithuania to be reelected for a second consecutive term. ","//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Dalia_Grybauskaite_2014_by_Augustas_Didzgalvis.jpg/220px-Dalia_Grybauskaite_2014_by_Augustas_Didzgalvis.jpg",""
"Cécile Manorohanta","Madagascar","Acting Prime Minister","18 December 2009","20 December 2009","2 days","Head of government","Cécile Manorohanta is a Malagasy politician, currently serving in the government of Madagascar as Deputy Prime Minister for the Interior. Previously she was Minister of Defense from 2007 to 2009. ","no image on wikipedia :(",""
"Roza Otunbayeva","Kyrgyzstan","President","7 April 2010","1 December 2011","1 year, 238 days","Head of state","Roza Isakovna Otunbayeva (Kyrgyz: Роза Исаковна (Исак кызы) Отунбаева, Roza İsaqovna (İsaq qızı) Otunbayeva; born August 23, 1950) is a Kyrgyz diplomat and politician who served as the President of Kyrgyzstan from 7 April 2010 until 1 December 2011. She was sworn in on July 3, 2010, after acting as interim leader following the 2010 April revolution which led to the ousting of President Kurmanbek Bakiyev. She previously served as Minister of Foreign Affairs and as head of the parliamentary caucus for the Social Democratic Party of Kyrgyzstan.","//upload.wikimedia.org/wikipedia/commons/thumb/7/75/Roza_Otunbayeva_in_2011.jpg/220px-Roza_Otunbayeva_in_2011.jpg",""
"Laura Chinchilla","Costa Rica","President","8 May 2010","8 May 2014","4 years, 0 days","Head of state and government","Laura Chinchilla Miranda (Spanish: [ˈlawɾa tʃinˈtʃiɟa miˈɾanda]; born 28 March 1959) is a Costa Rican politician who was President of Costa Rica from 2010 to 2014. She was one of Óscar Arias Sánchez's two Vice-Presidents and his administration's Minister of Justice. She was the governing PLN candidate for President in the 2010 general election, where she won with 46.76% of the vote on 7 February. She was the eighth woman president of a Latin American country and the first woman to become President of Costa Rica. She was sworn in as President of Costa Rica on May 8, 2010.","//upload.wikimedia.org/wikipedia/commons/3/38/Laura_Chinchilla_Miranda_with_Hillary_Rodham_Clinton_%28cropped%29.jpg",""
"Kamla Persad-Bissessar","Trinidad and Tobago","Prime Minister","26 May 2010","9 September 2015","5 years, 106 days","Head of government","The Hon. Kamla Persad-Bissessar PBS SC MP (born 22 April 1952) is a Trinidadian and Tobagonian lawyer and  politician who was the sixth Prime Minister of Trinidad and Tobago from 26 May 2010 to 9 September 2015. She was the country's first female Prime Minister, Attorney General, and Leader of the Opposition, the first woman to chair the Commonwealth of Nations and the first woman of Indian origin to be a prime minister of a country outside of India and other South Asian countries.","//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Kamla_Persad-Bissesar_2013.jpg/220px-Kamla_Persad-Bissesar_2013.jpg",""
"Mari Kiviniemi","Finland","Prime Minister","22 June 2010","22 June 2011","1 year, 0 days","Head of government","Mari Johanna Kiviniemi (born 27 September 1968) is a Finnish politician, who served as the second female Prime Minister of Finland.","//upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Mari_Kiviniemi_2010-11-02_%282%29.jpg/220px-Mari_Kiviniemi_2010-11-02_%282%29.jpg",""
